"Person","Country","Industry","age","Net Worth, $B","Rank","Time",
"Alberto Alcocer","Spain","investments","71","1","1565","2014",
"Alberto Alcocer","Spain","investments","72","1.3","1415","2015",
"Alexander Mamut","Russia","investments","55","2.5","737","2015",
"Alexander Mamut","Russia","investments","54","2.3","764","2014",
"Alexander Vik","Norway","investments","59","1","1565","2014",
"Alexander Vik","Norway","investments","60","1.1","1712","2015",
"Chen Jinxia","China","investments","45","1.8","988","2014",
"Chen Jinxia","China","investments","46","2.3","810","2015",
"Bidzina Ivanishvili","Georgia","investments","59","5.2","291","2015",
"Bidzina Ivanishvili","Georgia","investments","58","5.2","270","2014",
"Bill Gross","United States","investments","69","2.3","764","2014",
"Bill Gross","United States","investments","70","2.3","810","2015",
"Carl Icahn","United States","investments","78","24.5","25","2014",
"Carl Icahn","United States","investments","79","23.5","31","2015",
"Carl Bennet","Sweden","investments","63","2.6","714","2015",
"Carl Bennet","Sweden","investments","62","2","869","2014",
"C. Dean Metropoulos","United States","investments","67","1.3","1284","2014",
"C. Dean Metropoulos","United States","investments","68","2.2","847","2015",
"Graeme Hart","New Zealand","investments","59","6.9","195","2015",
"Graeme Hart","New Zealand","investments","58","7","191","2014",
"H. Wayne Huizenga","United States","investments","77","2.6","714","2015",
"H. Wayne Huizenga","United States","investments","76","2.5","687","2014",
"Gong Hongjia","Hong Kong","investments","50","4.7","341","2015",
"Gong Hongjia & family","Hong Kong","investments","49","3.7","408","2014",
"Hamilton James","United States","investments","63","1.9","1006","2015",
"Henry Hillman","United States","investments","96","2.5","737","2015",
"Henry Hillman","United States","investments","95","2.5","687","2014",
"George Lindemann","United States","investments","78","3.9","435","2015",
"George Lindemann & family","United States","investments","77","3.2","506","2014",
"Daniel Ziff","United States","investments","43","4.9","318","2015",
"Daniel Ziff","United States","investments","42","4.8","305","2014",
"Clemmie Spangler, Jr.","United States","investments","82","2.3","810","2015",
"Clemmie Spangler, Jr.","United States","investments","81","2.3","764","2014",
"David Gottesman","United States","investments","88","1.8","1054","2015",
"David Gottesman","United States","investments","87","1.9","931","2014",
"Eli Broad","United States","investments","81","7.2","185","2015",
"Eli Broad","United States","investments","80","6.9","196","2014",
"Dirk Ziff","United States","investments","50","4.9","318","2015",
"Dirk Ziff","United States","investments","49","4.8","305","2014",
"Wichai Thongtang","Thailand","investments","68","1.6","1190","2015",
"Wilbur Ross, Jr.","United States","investments","76","2.8","609","2014",
"Wilbur Ross, Jr.","United States","investments","77","3","603","2015",
"Vladimir Gruzdev","Russia","investments","48","1.2","1533","2015",
"Vladimir Gruzdev","Russia","investments","47","1.3","1284","2014",
"Vincent Bollore","France","investments","61","7.4","183","2014",
"Vincent Bollore","France","investments","62","6.7","201","2015",
"Thomas Kaplan","United States","investments","51","1","1565","2014",
"Thomas Kaplan","United States","investments","52","1","1741","2015",
"Thaksin Shinawatra","Thailand","investments","65","1.7","1118","2015",
"Thaksin Shinawatra & family","Thailand","investments","64","1.6","1092","2014",
"Zheng Yuewen","China","investments","53","1.2","1533","2015",
"Rakesh Jhunjhunwala","India","investments","54","2.1","894","2015",
"Rakesh Jhunjhunwala","India","investments","53","1.2","1372","2014",
"Prince Alwaleed Bin Talal Alsaud","Saudi Arabia","investments","59","20.4","30","2014",
"Prince Alwaleed Bin Talal Alsaud","Saudi Arabia","investments","59","22.6","34","2015",
"Peter Kellogg","United States","investments","71","3.1","520","2014",
"Peter Kellogg","United States","investments","72","3.3","534","2015",
"Peter Lim","Singapore","investments","61","2","949","2015",
"Peter Lim","Singapore","investments","60","2.35","763","2014",
"Peter Peterson","United States","investments","88","1.8","1054","2015",
"Peter Sondakh","Indonesia","investments","62","2.8","609","2014",
"Peter Sondakh","Indonesia","investments","63","2.3","810","2015",
"Philip Anschutz","United States","investments","75","11.8","104","2015",
"Philip Anschutz","United States","investments","74","10.4","113","2014",
"Robert Ziff","United States","investments","48","4.9","318","2015",
"Robert Ziff","United States","investments","47","4.8","305","2014",
"Richard Scaife","United States","investments","81","1.45","1203","2014",
"Richard Chandler","New Zealand","investments","56","3","603","2015",
"Richard Chandler","New Zealand","investments","55","2.75","641","2014",
"Robert Rowling","United States","investments","61","5.4","277","2015",
"Robert Rowling","United States","investments","60","4.9","295","2014",
"Sebastian Pinera","Chile","investments","65","2.5","737","2015",
"Sebastian Pinera","Chile","investments","64","2.4","731","2014",
"Seth Klarman","United States","investments","57","1.5","1250","2015",
"Seth Klarman","United States","investments","56","1.25","1356","2014",
"Suleiman Kerimov","Russia","investments","48","3.4","512","2015",
"Suleiman Kerimov","Russia","investments","48","6.9","196","2014",
"Stephen Schwarzman","United States","investments","68","12","100","2015",
"Stephan Schmidheiny","Switzerland","investments","66","3.3","483","2014",
"Stephan Schmidheiny","Switzerland","investments","67","3.3","534","2015",
"David & Simon Reuben","United Kingdom","investments, real estate","71","11.5","95","2014",
"David & Simon Reuben","United Kingdom","investments, real estate","72","13.7","80","2015",
"Jose Mendes Nogueira & family","Brazil","iron ore mining","86","1.1","1465","2014",
"Farhad Moshiri","United Kingdom","iron ore, steel, telecoms","58","2.9","580","2014",
"Xia Shudong","China","IT service","42","1.1","1712","2015",
"Yu Awu","China","jewelry","73","1.1","1712","2015",
"T.S. Kalyanaraman","India","jewelry","67","1.1","1712","2015",
"T.S. Kalyanaraman","India","jewelry","66","1","1565","2014",
"Karl Scheufele, III.","Switzerland","jewelry","76","1.7","1118","2015",
"Carolus Nolet, Sr.","Netherlands","Ketel One vodka","74","1.1","1638","2015",
"Michael Pieper","Switzerland","kitchen appliances","68","2.9","580","2014",
"Michael Pieper","Switzerland","kitchen appliances","69","3.3","534","2015",
"Sun Pingfan & family","China","knitting machines","44","1.3","1284","2014",
"Shin Chang-Jae","South Korea","Kyobo Life Insurance","60","2","869","2014",
"Gilles Martin","France","laboratory services","51","1.2","1605","2015",
"Gilles Martin","France","laboratory services","50","1.2","1372","2014",
"He Qiaonv & family","China","landscape architecture","48","1.5","1154","2014",
"Valentin Gapontsev","Russia","lasers","76","1.2","1533","2015",
"Joe Jamail, Jr.","United States","lawsuits","89","1.7","1118","2015",
"Joe Jamail, Jr.","United States","lawsuits","88","1.6","1092","2014",
"Kjeld Kirk Kristiansen","Denmark","Lego","67","9.7","129","2015",
"Kjeld Kirk Kristiansen","Denmark","Lego","66","10.2","119","2014",
"John Edson","United States","leisure craft","82","1.3","1415","2015",
"John Edson","United States","leisure craft","81","1.15","1442","2014",
"Thomas Lee","United States","leveraged buyouts","70","2","949","2015",
"Thomas Lee","United States","leveraged buyouts","69","1.5","1154","2014",
"Ronald Perelman","United States","leveraged buyouts","72","14.5","69","2015",
"Ronald Perelman","United States","leveraged buyouts","71","14","73","2014",
"Koo Bon-Moo","South Korea","LG","69","1.5","1154","2014",
"Koo Bon-Neung","South Korea","LG","64","1.1","1465","2014",
"Sun Qinghuan","China","lighting","41","1.1","1638","2015",
"Zhou Mingjie","China","lighting installations","57","1.2","1605","2015",
"Reid Hoffman","United States","LinkedIn","46","3.6","430","2014",
"Reid Hoffman","United States","LinkedIn","47","4.7","341","2015",
"Charles Bronfman","Canada","liquor","82","2.1","828","2014",
"Charles Bronfman","Canada","liquor","83","2.3","810","2015",
"Chung Eui-Sun","South Korea","logistics","44","3.8","452","2015",
"Jim Thompson","United States","logistics","74","1","1565","2014",
"Jim Thompson","United States","logistics","75","1.5","1250","2015",
"Zhou Guohui","China","logistics","50","1.3","1415","2015",
"Liliane Bettencourt","France","L'Oreal","92","40.1","10","2015",
"Liliane Bettencourt & family","France","L'Oreal","91","34.5","11","2014",
"Shin Dong-Bin","South Korea","Lotte","59","1.95","925","2014",
"Shin Dong-Joo","South Korea","Lotte","60","1.75","1036","2014",
"Vagit Alekperov","Russia","Lukoil","63","13.6","76","2014",
"Vagit Alekperov","Russia","Lukoil","64","12.2","96","2015",
"Leonid Fedun","Russia","Lukoil","58","5.3","283","2015",
"Leonid Fedun","Russia","Lukoil","57","6.5","208","2014",
"Chip Wilson","Canada","Lululemon","58","2.2","847","2015",
"Chip Wilson","Canada","Lululemon","57","2.2","796","2014",
"Nicola Bulgari","Italy","luxury goods","74","1.3","1415","2015",
"Nicola Bulgari","Italy","luxury goods","73","1.4","1210","2014",
"Paolo Bulgari","Italy","luxury goods","76","1.4","1210","2014",
"Paolo Bulgari","Italy","luxury goods","77","1.4","1386","2015",
"Patrizio Bertelli","Italy","luxury goods","69","4.1","405","2015",
"Patrizio Bertelli","Italy","luxury goods","68","6","234","2014",
"Johann Rupert","South Africa","luxury goods","64","7.4","179","2015",
"Johann Rupert & family","South Africa","luxury goods","63","7.6","173","2014",
"Bernard Arnault","France","LVMH","66","37.2","13","2015",
"Bernard Arnault & family","France","LVMH","65","33.5","15","2014",
"Bachtiar Karim","Indonesia","manufacturing","57","2","869","2014",
"Bachtiar Karim","Indonesia","manufacturing","58","2","949","2015",
"Cao Kejian","China","manufacturing","51","1.6","1092","2014",
"Catherine Lozick","United States","manufacturing","69","2","869","2014",
"Catherine Lozick","United States","manufacturing","70","1.8","1054","2015",
"Anthony Pratt","Australia","manufacturing","54","3.6","481","2015",
"Gu Wei","China","manufacturing","49","1.6","1092","2014",
"Fang Wei","China","manufacturing","40","1.1","1465","2014",
"Friedhelm Loh","Germany","manufacturing","68","2.7","690","2015",
"Friedhelm Loh","Germany","manufacturing","67","3","551","2014",
"David McMurtry","United Kingdom","manufacturing","74","1","1741","2015",
"Horst Julius Pudwill","Germany","manufacturing","69","1","1565","2014",
"Horst Julius Pudwill","Germany","manufacturing","70","1.3","1500","2015",
"Mitchell Rales","United States","manufacturing","57","3.8","396","2014",
"Liang Wengen","China","manufacturing","57","4.3","345","2014",
"Liu Changqing","China","manufacturing","62","1.4","1324","2015",
"Max Turnauer","Austria","manufacturing","78","1.15","1442","2014",
"Wen Yibo & family","China","manufacturing","48","1.5","1154","2014",
"Wim Van Der Leegte","Netherlands","manufacturing","67","2.1","894","2015",
"Wu Chung-Yi","Taiwan","manufacturing","55","1","1565","2014",
"Sun Weijie","China","manufacturing","50","2","869","2014",
"Steven Rales","United States","manufacturing","62","3.6","430","2014",
"Steven Rales","United States","manufacturing","63","3.7","462","2015",
"Peter Spuhler","Switzerland","manufacturing","55","2.2","847","2015",
"Mitchell Rales","United States","manufacturing, investments","58","4","418","2015",
"Jack Dangermond","United States","mapping software","69","2.9","628","2015",
"Jack Dangermond","United States","mapping software","68","2.5","687","2014",
"Isaac Perlmutter","United States","Marvel comics","71","3.1","520","2014",
"Isaac Perlmutter","United States","Marvel comics","72","3.8","452","2015",
"Tian Ming","China","measuring instruments","60","1.2","1372","2014",
"Tian Ming","China","measuring instruments","61","1.6","1190","2015",
"Robert Toennies","Germany","Meat Processing","","1.7","1118","2015",
"Joseph Grendys","United States","Meat Processing","53","1.9","1006","2015",
"Joseph Grendys","United States","Meat Processing","52","1.1","1465","2014",
"Luigi Cremonini","Italy","Meat Processing","75","1.2","1533","2015",
"Clemens Toennies","Germany","Meat Processing","58","2.2","847","2015",
"Zhu Yicai","China","meat products, retailing","50","1.4","1386","2015",
"Yvonne Bauer","Germany","media","37","2.8","663","2015",
"Yvonne Bauer & family","Germany","media","36","3.5","446","2014",
"Victor Civita Neto","Brazil","media","0","1.05","1540","2014",
"Roberta Anamaria Civita","Brazil","media","0","1.05","1540","2014",
"Roberto Irineu Marinho","Brazil","media","67","8.2","165","2015",
"Roberto Irineu Marinho","Brazil","media","66","9.1","137","2014",
"Subhash Chandra","India","media","63","1.9","931","2014",
"Subhash Chandra","India","media","64","4.2","393","2015",
"Sumner Redstone","United States","media","90","6.2","224","2014",
"Sumner Redstone","United States","media","91","6.3","225","2015",
"Surang Prempree","Thailand","media","72","1.4","1324","2015",
"Silvio Berlusconi","Italy","media","78","7.4","179","2015",
"Silvio Berlusconi & family","Italy","media","77","9","141","2014",
"Samuel Newhouse, Jr.","United States","media","87","9","142","2015",
"Samuel Newhouse, Jr.","United States","media","86","9.3","132","2014",
"Rupert Murdoch","United States","media","83","13.9","77","2015",
"Rupert Murdoch & family","United States","media","83","13.5","78","2014",
"David Thomson","Canada","media","57","25.5","25","2015",
"David Thomson & family","Canada","media","56","22.6","27","2014",
"Donald Newhouse","United States","media","85","8.3","162","2015",
"Donald Newhouse","United States","media","84","8.5","153","2014",
"Emilio Azcarraga Jean","Mexico","media","47","3.1","577","2015",
"Emilio Azcarraga Jean","Mexico","media","46","2.6","663","2014",
"Elizabeth Mohn","Germany","media","74","3.6","481","2015",
"Elizabeth Mohn & family","Germany","media","73","4.2","354","2014",
"Gustavo Cisneros","Venezuela","media","69","3.6","481","2015",
"Gustavo Cisneros & family","Venezuela","media","68","4","375","2014",
"Giancarlo Franceso Civita","Brazil","media","0","1.05","1540","2014",
"Hary Tanoesoedibjo","Indonesia","media","49","1.4","1324","2015",
"Hary Tanoesoedibjo","Indonesia","media","48","1.2","1372","2014",
"Anne Cox Chambers","United States","media","94","15.5","58","2014",
"Anne Cox Chambers","United States","media","95","17","53","2015",
"Blair Parry-Okeden","United States","media","63","7.7","168","2014",
"Blair Parry-Okeden","United States","media","64","8.5","156","2015",
"Aydin Dogan","Turkey","media","78","1","1741","2015",
"Aydin Dogan","Turkey","media","77","1.1","1465","2014",
"Patrick McGovern","United States","media","76","5.7","244","2014",
"Jose Roberto Marinho","Brazil","media","59","8.2","165","2015",
"Jose Roberto Marinho","Brazil","media","58","9.1","137","2014",
"Kalanithi Maran","India","media","48","2.2","796","2014",
"Kalanithi Maran","India","media","49","2.9","628","2015",
"Indu Jain","India","media","77","2.3","764","2014",
"Indu Jain","India","media","78","3","603","2015",
"Jim Kennedy","United States","media","67","8.5","156","2015",
"Jim Kennedy","United States","media","66","7.7","168","2014",
"Joao Roberto Marinho","Brazil","media","61","8.2","165","2015",
"Joao Roberto Marinho","Brazil","media","60","9.1","137","2014",
"Koos Bekker","South Africa","media, investments","62","2.3","810","2015",
"Koos Bekker","South Africa","media, investments","61","1.3","1284","2014",
"Kerry Stokes","Australia","media, mining","74","1.2","1605","2015",
"Kerry Stokes","Australia","media, mining","73","1.7","1046","2014",
"Krit Ratanarak","Thailand","media, real estate","67","2.8","609","2014",
"Krit Ratanarak","Thailand","media, real estate","68","3.8","452","2015",
"Sudthida Ratanarak","Thailand","media, real estate","","1.7","1173","2015",
"David & Frederick Barclay","United Kingdom","media, retail","80","4","375","2014",
"David & Frederick Barclay","United Kingdom","media, retail","81","5.2","291","2015",
"Eddy Kusnadi Sariaatmadja","Thailand","media, tech","61","1.3","1415","2015",
"Hansjoerg Wyss","Switzerland","medical devices","79","10.5","111","2014",
"Hansjoerg Wyss","Switzerland","medical devices","80","6.1","240","2015",
"Gayle Cook","United States","medical devices","80","5.8","240","2014",
"Carl Cook","United States","medical devices","52","6.5","216","2015",
"Amy Wyss","United States","medical devices","44","1.9","1044","2015",
"Alfred Mann","United States","medical devices","88","1.1","1465","2014",
"Alfred Mann","United States","medical devices","89","1.5","1250","2015",
"Niels Peter Louis-Hansen","Denmark","medical devices","67","3.9","435","2015",
"Niels Peter Louis-Hansen","Denmark","medical devices","66","3.7","408","2014",
"Rudolf Maag","Switzerland","medical devices","69","1.2","1533","2015",
"Reinhold Schmieding","United States","medical devices","59","2.6","663","2014",
"Reinhold Schmieding","United States","medical devices","60","4","418","2015",
"Ronda Stryker","United States","medical equipment","59","3.4","466","2014",
"Ronda Stryker","United States","medical equipment","60","3.7","462","2015",
"Wu Guangming","China","medical equipment","53","1.9","1044","2015",
"Wu Guangming & family","China","medical equipment","52","1.8","988","2014",
"Pat Stryker","United States","medical equipment","57","1.9","931","2014",
"Pat Stryker","United States","medical equipment","58","2.2","847","2015",
"John Brown","United States","medical equipment","79","1.75","1036","2014",
"John Brown","United States","medical equipment","80","2.1","894","2015",
"Jon Stryker","United States","medical equipment","56","2","949","2015",
"Lutz Mario Helmig","Germany","medical facilities","68","1.8","1054","2015",
"Lutz Mario Helmig","Germany","medical facilities","67","1.8","988","2014",
"Gary Michelson","United States","medical patents","66","1.6","1226","2015",
"Gary Michelson","United States","medical patents","65","1.5","1154","2014",
"James Leininger","United States","medical products","68","1.3","1284","2014",
"James Leininger","United States","medical products","69","1.3","1415","2015",
"Jon Stryker","United States","medical supplies","55","1.6","1092","2014",
"Gustavo Denegri","Italy","medical tests","79","1.1","1712","2015",
"Andrei Kozitsyn","Russia","metals","54","2","949","2015",
"Andrei Kozitsyn","Russia","metals","53","1.9","931","2014",
"Igor Altushkin","Russia","metals","43","1.7","1046","2014",
"Igor Altushkin","Russia","metals","44","1.6","1190","2015",
"Zhang Shiping & family","China","metals","67","3.6","430","2014",
"Vladimir Potanin","Russia","metals","53","12.6","86","2014",
"Vladimir Potanin","Russia","metals","54","15.4","60","2015",
"Wang Wenyin","China","metals","46","4.2","354","2014",
"Alexander Nesis","Russia","metals, banking, fertilizers","51","3","551","2014",
"Alexander Nesis","Russia","metals, banking, fertilizers","52","2.5","737","2015",
"Viktor Vekselberg","Russia","metals, energy","57","14.2","73","2015",
"Viktor Vekselberg","Russia","metals, energy","56","17.2","51","2014",
"Vasily Anisimov","Russia","metals, real estate","62","2.6","663","2014",
"Vasily Anisimov","Russia","metals, real estate","63","2","949","2015",
"Steve Ballmer","United States","Microsoft","58","21.5","35","2015",
"Steve Ballmer","United States","Microsoft","57","19.3","36","2014",
"Bill Gates","United States","Microsoft","58","76","1","2014",
"Bill Gates","United States","Microsoft","59","79.2","1","2015",
"Charles Simonyi","United States","Microsoft","67","1.4","1324","2015",
"Charles Simonyi","United States","Microsoft","66","1.3","1284","2014",
"Paul Allen","United States","Microsoft, investments","62","17.5","51","2015",
"Paul Allen","United States","Microsoft, investments","61","15.9","56","2014",
"Markus Persson","Sweden","Minecraft","35","1.3","1415","2015",
"Patrice Motsepe","South Africa","mining","52","2.7","642","2014",
"Patrice Motsepe","South Africa","mining","53","2.2","847","2015",
"Iris Fontbona","Chile","mining","72","13.5","82","2015",
"Iris Fontbona & family","Chile","mining","71","15.5","58","2014",
"Ivan Glasenberg","Australia","mining","57","6.3","215","2014",
"Ivan Glasenberg","Switzerland","mining","58","5.1","301","2015",
"Kostyantin Zhevago","Ukraine","mining","40","1.2","1372","2014",
"Alberto Bailleres Gonzalez","Mexico","mining","83","10.4","121","2015",
"Alberto Bailleres Gonzalez & family","Mexico","mining","82","12.4","90","2014",
"Andrew Forrest","Australia","mining","53","2.2","847","2015",
"Andrew Forrest","Australia","mining","52","5.2","270","2014",
"Angela Bennett","Australia","mining","69","1","1565","2014",
"Gina Rinehart","Australia","mining","61","12.3","94","2015",
"Gina Rinehart","Australia","mining","60","17.7","46","2014",
"German Larrea Mota Velasco","Mexico","mining","61","13.9","77","2015",
"German Larrea Mota Velasco & family","Mexico","mining","60","14.7","67","2014",
"Desmond Sacco","South Africa","mining","71","1.3","1284","2014",
"Dan Gertler","Israel","mining","41","1.6","1190","2015",
"Dan Gertler","Israel","mining","40","2.5","687","2014",
"Vladimir Kim","Kazakhstan","mining","53","1.65","1078","2014",
"Vladimir Kim","Kazakhstan","mining","54","1.8","1054","2015",
"Yu Yong","China","mining investments","54","3.1","577","2015",
"Ana Maria Brescia Cafferata","Peru","mining, banking","90","1.6","1226","2015",
"Ana Maria Brescia Cafferata","Peru","mining, banking","89","1.55","1143","2014",
"Bulat Utemuratov","Kazakhstan","mining, banking, hotels","57","2.6","714","2015",
"Bulat Utemuratov","Kazakhstan","mining, banking, hotels","56","2.2","796","2014",
"Aristotelis Mistakidis","Greece","mining, commodities","53","2.1","894","2015",
"Alex Beard","United Kingdom","mining, commodities","47","1.6","1190","2015",
"Daniel Mate","Spain","mining, commodities","51","2.1","894","2015",
"Wang Wenyin","China","mining, copper products","47","9.9","125","2015",
"Beny Steinmetz","Israel","mining, diamonds, real estate","57","4.1","367","2014",
"Beny Steinmetz","Israel","mining, diamonds, real estate","58","3.5","497","2015",
"Rosa Brescia Cafferata","Peru","mining, fisheries","88","1.6","1226","2015",
"Rosa Brescia Cafferata","Peru","mining, fisheries","87","1.55","1143","2014",
"Chen Fashu","China","mining, hypermarkets","54","2.8","663","2015",
"Alexander Machkevich","Israel","mining, metals","61","2.2","847","2015",
"Alexander Machkevich","Israel","mining, metals","60","1.7","1046","2014",
"Alijan Ibragimov","Kazakhstan","mining, metals","61","2.2","847","2015",
"Alijan Ibragimov","Kazakhstan","mining, metals","60","1.7","1046","2014",
"Anil Agarwal","India","mining, metals","61","1.8","1054","2015",
"Anil Agarwal","India","mining, metals","60","2.9","580","2014",
"Patokh Chodiev","Belgium","mining, metals","61","1.7","1046","2014",
"Patokh Chodiev","Belgium","mining, metals","62","2","949","2015",
"Iskander Makhmudov","Russia","mining, metals, machinery","51","3.5","497","2015",
"Iskander Makhmudov","Russia","mining, metals, machinery","50","6.1","227","2014",
"Alexander Frolov","Russia","mining, steel","49","1.5","1154","2014",
"Alexander Frolov","Russia","mining, steel","50","1.8","1054","2015",
"Vladimir Iorich","Germany","mining, steel","55","1.4","1210","2014",
"Park Hyeon-Joo","South Korea","Mirae","55","1.1","1465","2014",
"Kim Beom-su","South Korea","mobile chat service","48","2.9","628","2015",
"John Caudwell","United Kingdom","mobile phones","61","2.8","609","2014",
"John Caudwell","United Kingdom","mobile phones","62","2.6","714","2015",
"Charles Dunstone","United Kingdom","mobile phones","51","2.7","690","2015",
"Charles Dunstone","United Kingdom","mobile phones","50","2.5","687","2014",
"Yasumitsu Shigeta","Japan","mobile telecom","49","2.6","663","2014",
"Yasumitsu Shigeta","Japan","mobile telecom","50","2","1000","2015",
"Rupert Johnson, Jr.","United States","money management","73","6.2","230","2015",
"Rupert Johnson, Jr.","United States","money management","72","6.2","224","2014",
"Ron Baron","United States","money management","70","2","869","2014",
"Ron Baron","United States","money management","71","2.1","894","2015",
"Stephen Jarislowsky","Canada","money management","89","1.6","1190","2015",
"Stephen Jarislowsky","Canada","money management","88","1.6","1092","2014",
"Charles Brandes","United States","money management","72","1.2","1605","2015",
"Charles Brandes","United States","money management","71","1.1","1465","2014",
"Charles Johnson","United States","money management","81","7.5","177","2014",
"Charles Johnson","United States","money management","82","6.6","208","2015",
"Abigail Johnson","United States","money management","53","13.4","85","2015",
"Abigail Johnson","United States","money management","52","17.3","50","2014",
"Edward Johnson, III.","United States","money management","84","7.4","179","2015",
"Edward Johnson, III.","United States","money management","83","9.3","132","2014",
"Fayez Sarofim","United States","money management","86","2.2","847","2015",
"Fayez Sarofim","United States","money management","85","1.9","931","2014",
"Ken Fisher","United States","money management","64","2.8","663","2015",
"Ken Fisher","United States","money management","63","2.4","731","2014",
"Mario Gabelli","United States","money management","71","1.6","1092","2014",
"Mario Gabelli","United States","money management","72","1.7","1118","2015",
"Hilton Schlosberg","United Kingdom","Monster energy drinks","62","1.4","1386","2015",
"Chung Mong-Koo","South Korea","motor vehicles","76","5.7","259","2015",
"Brijmohan Lall Munjal","India","motorcycles","91","3.8","452","2015",
"Brijmohan Lall Munjal","India","motorcycles","90","2.4","731","2014",
"Rahul Bajaj","India","motorcycles","76","2.5","737","2015",
"Rahul Bajaj","India","motorcycles","75","1.85","973","2014",
"Vikram Lal","India","motorcycles","73","3.9","435","2015",
"Tu Jianhua","China","motorcycles, real estate","51","1.1","1638","2015",
"Tu Jianhua","China","motorcycles, real estate","50","1.2","1372","2014",
"Shigenobu Nagamori","Japan","motors","69","2.5","687","2014",
"Shigenobu Nagamori","Japan","motors","70","3.3","534","2015",
"Arnon Milchan","Israel","movie making","69","4.7","319","2014",
"Arnon Milchan","Israel","movie making","70","5.1","301","2015",
"Ryan Kavanaugh","United States","movies","39","1","1565","2014",
"Ryan Kavanaugh","United States","movies","40","1","1741","2015",
"Steven Spielberg","United States","movies","67","3.4","466","2014",
"Steven Spielberg","United States","movies","68","3.6","481","2015",
"David Geffen","United States","movies, music","71","6.1","227","2014",
"David Booth","United States","mutual funds","69","1.6","1190","2015",
"David Booth","United States","mutual funds","68","1.3","1284","2014",
"Andreas Pohl","Germany","mutual funds","50","1","1741","2015",
"Reinfried Pohl","Germany","mutual funds","85","2.1","828","2014",
"Reinfried Pohl, Jr.","Germany","mutual funds","55","1","1741","2015",
"James France","United States","Nascar, racing","70","2.1","894","2015",
"Dan Wilks","United States","natural gas","58","1.4","1386","2015",
"Dan Wilks","United States","natural gas","57","1.5","1154","2014",
"Farkhad Akhmedov","Russia","natural gas","59","1.4","1324","2015",
"Farkhad Akhmedov","Russia","natural gas","58","1.4","1210","2014",
"Farris Wilks","United States","natural gas","62","1.5","1154","2014",
"Farris Wilks","United States","natural gas","63","1.4","1386","2015",
"Rodney Lewis","United States","natural gas","61","2.1","894","2015",
"Rodney Lewis","United States","natural gas","60","2.4","731","2014",
"Terrence Pegula","United States","natural gas","63","3.3","483","2014",
"Terrence Pegula","United States","natural gas","64","3.8","452","2015",
"Wang Yusuo","China","natural gas distribution","50","2.7","690","2015",
"Liu Ming Hui","China","natural gas distribution","52","1.1","1638","2015",
"Min Kao","United States","navigation equipment","65","2.5","687","2014",
"Min Kao","United States","navigation equipment","66","3","603","2015",
"Gary Burrell","United States","navigation equipment","77","1.9","1006","2015",
"Gary Burrell","United States","navigation equipment","76","1.6","1092","2014",
"Kim Tack-Jin","South Korea","NCsoft","47","1.1","1465","2014",
"Reed Hastings","United States","Netflix","54","1","1741","2015",
"James Clark","United States","Netscape, investments","70","1.6","1226","2015",
"James Clark","United States","Netscape, investments","69","1.4","1210","2014",
"Jim Davis","United States","New Balance","71","3.6","481","2015",
"Jim Davis & family","United States","New Balance","70","3.4","466","2014",
"Robert Kraft","United States","New England Patriots","72","2.9","580","2014",
"Robert Kraft","United States","New England Patriots","73","4.3","381","2015",
"Tom Benson","United States","New Orleans Saints","87","1.9","1006","2015",
"Tom Benson","United States","New Orleans Saints","86","1.5","1154","2014",
"Phil Knight","United States","Nike","77","21.5","35","2015",
"Phil Knight","United States","Nike","76","18.4","42","2014",
"Anne Gittinger","United States","Nordstrom department stores","78","1.35","1270","2014",
"Anne Gittinger","United States","Nordstrom department stores","79","1.8","1054","2015",
"Bruce Nordstrom","United States","Nordstrom department stores","80","1.3","1284","2014",
"Johan Johannson","Norway","NorgesGruppen, grocery wholesaling","47","2.7","642","2014",
"Daniel Hirschfeld","United States","Not Stated","0","1.1","1465","2014",
"Maria Franca Fissolo","Italy","Nutella, chocolates","97","23.4","32","2015",
"Liang Yunchao","China","nutrition supplements","45","2.4","731","2014",
"Liang Yunchao","China","nutrition supplements","46","2","1000","2015",
"Mark Dixon","United Kingdom","office real estate","56","1.2","1533","2015",
"Mark Dixon","United Kingdom","office real estate","55","1.2","1372","2014",
"Massimo Moratti","Italy","oil","69","1.3","1415","2015",
"Massimo Moratti","Italy","oil","68","1.5","1154","2014",
"Mohammed Al Barwani","Oman","oil","62","1.2","1372","2014",
"Mohammed Al Barwani","Oman","oil","63","1.2","1533","2015",
"Jeffery Hildebrand","United States","oil","56","4.9","318","2015",
"Jeffery Hildebrand","United States","oil","55","5.5","256","2014",
"Folorunsho Alakija","Nigeria","oil","63","2.5","687","2014",
"Folorunsho Alakija","Nigeria","oil","64","2","949","2015",
"Gian Marco Moratti","Italy","oil","78","1.3","1500","2015",
"Gian Marco Moratti","Italy","oil","77","1.4","1210","2014",
"Arthur Irving","Canada","oil","84","5.5","256","2014",
"Arthur Irving","Canada","oil","85","5.5","271","2015",
"Alexander Putilov","Russia","oil","61","1.2","1372","2014",
"Ray Irani","United States","oil","80","1","1741","2015",
"Ray Irani","United States","oil","79","1.1","1465","2014",
"William Moncrief, Jr.","United States","oil","93","1","1565","2014",
"Vladimir Bogdanov","Russia","oil","63","2","949","2015",
"Vladimir Bogdanov","Russia","oil","62","2.6","663","2014",
"W. Herbert Hunt","United States","oil","86","1.7","1118","2015",
